comments,labels
2009 වසරේදී පාකිස්ථානයේ තරඟ  සංචාරයක නිරත වෙමින් සිටි ශ්‍රී ලංකා ක්‍රිකට් කණ්ඩයම ඉලක්ක කර ගනිමින් ත්‍රස්ත ප්‍රහායක් එල්ලවුණි.,3
පන්දු රැකී‍ම සම්බන්ධයෙන් දින 10ක කෙටි කාලීන පුහුණුවක් ලබාදීම සඳහා දකුණු අප්‍රිකාවේ හිටපු ක්‍රිකට් ක්‍රීඩක ජොන්ටි රෝඩ්ස් අද දිවයිනට පැමිණීමට නියමිතව තිබේ.,3
ශ්‍රී ලංකා ක්‍රිකට් ආයතනය නිවේදනයක් නිකුත් කරමින් සඳහන් කරන්නේ ජොන්ටි රෝඩ්ස් මෙම සංචාරයේදී ජාතික කණ්ඩායමේ මෙන්ම සෙසු කණ්ඩායම්වලට පන්දු රැකීම සම්බන්ධ විශේෂ පුහුණුවක් ලබාදීමට නියමිත බවයි.,3
ලබන මාසයේදී ආරම්භ වීමට නියමිත පකිස්ථානු කණ්ඩායමේ ශ්‍රී ලංකා සංචාරය ඉලක්ක කර මෙම විශේෂඥ පුහුණුව ලබාදීමට සැලසුම් කර ඇත.,3
ඉන්දීය ප්‍රිමියර් ලීග් තරඟාවලියේ අර්ධ අවසන් තරඟය සඳහා රෝයල් චැලෙන්ජර්ස් බැංගලෝර් කණ්ඩායම සුදුසුකම් ලබා තිබේ.,3
ඒ ඊයේ පැවති තරඟයෙන් රාජස්ථාන් රෝයල්ස් කණ්ඩායම  ලකුණු 71කින් පරාජය කරමිනි .,3
තරඟයේ කාසියේ වාසිය දිනූ බැංලෝර් කණ්ඩායම පළමුව පන්දුවට පහරදීමට තීරණය කළේය.,3
ඒ අනුව ඔවුන් නියමිත පන්දුවාර 20 අවසානයේ කඩුලු 04 ක් දැවී ලකුණු 180 ක් ලබා ගත්තේය.,3
පිළිතුරු ඉණිම සඳහා පිටියට පිවිසි රාජස්ථාන් කණ්ඩායමට පන්දුවාර 19දී සියලු ක්‍රීඩකයින් දැවී ලබාගත හැකි වූයේ ලකුණු 109 ක් පමණි.,3
ඒ අනුව ඉන්දීය ප්‍රිමියර් ලීග් ක්‍රිකට් තරඟාවලියේ අවසන් පූර්ව තරඟය චෙන්නායි සුපර් කිංග්ස් කණ්ඩායම සහ රෝයල් චැලෙන්ජර්ස් බැංගලෝර් කණ්ඩායම අතර හෙට දිනයේ පැවැත්වීමට නියමිතය.,3
එම තරඟයෙන් ජය ගන්නා කණ්ඩායම මුම්බායි ඉන්දියන්ස් කණ්ඩායම සමඟ ලබන ඉරිදා දිනයේ පැවැත්වෙන අවසන් මහා තරඟයට සුදුසුකම් ලබනු ඇත.,3
බටහිර ඉන්දීය කොදෙව් කාන්තා ක්‍රිකට් කණ්ඩායම සමග පැවැති දෙවන එක්දින තරගය ජය ගැනීමට ශ්‍රී ලංකා කාන්තා ක්‍රිකට් කණ්ඩායම අද සමත්  විය.,3
කොළඹදී පැවැති මෙම තරඟයේ පළමුව පන්දුවට පහරදුන් පන්දුවාර 42.3දි සියල්ලන් දැවී ලකුණු 124ක් රැස් කළ අතර පන්දුවෙන් දස්කම් පෑ ශෂිකලා සිරිවර්ධන ලකුණු 30ට කඩුලු 4ක් බිඳ දැමුවාය.,3
පිළිතුරු ඉනිමට ශ්‍රී ලංකා කාන්තා කණ්ඩායම පන්දුවාර 39.2ක් වැය කළ අතර ශෂිකලා යළිත් දක්ෂතා අතරට පැමිණෙමින් පිත්තෙන් ලකුණු 42ක් ලබාගත්තාය.,3
දෙරට අතර මෙම තරඟාවලියට  එක්දින තරග 04ක් ඇතුළත් වේ.,3
ශ්‍රී ලංකා කණ්ඩායමේ නායිකා චමරි අතපත්තු ඇඟිල්ලේ ආබාධයකට ලක්ව සිටීම නිසා පළමු තරඟ‍යට මෙන් අද තරඟයට ද නායකත්වය ලබාදුන්නේ  ඒෂානි ලොකුසුරියගේය.,3
 දෙරට අතර පළමු තරඟය කඩුලු 5න් ජය ගැනීමට කොදෙව් කාන්තා කණ්ඩායම සමත් විය.,3
අනෙක් තරඟ දෙක ලබන 18 හා 20 පැවැත්වීමට නියමිත අතර ලබන 2017 වසරේ පැවැත්වෙන ‍කාන්තා ලෝක කුසලාන තරඟාවලියට ඉහළම දක්ෂතා දක්වන කණ්ඩායම් 4 තෝරා ගැනීම සඳහා මෙම තරඟාවලියද පාදක කර ගනියි.,3
ශ්‍රී ලංකා මළල ක්‍රීඩා සංගමයේ  සභාපති ධූරයට හිටපු ප්‍රවීණ මළල ක්‍රීඩක සුගත් තිලකරත්න මහතා වැඩි ඡන්දයෙන් තේරී  පත්ව තිබේ.,3
 ඒ අද ජාතික ක්‍රීඩා විද්‍යායතන පරිශ්‍රයේ පැවති නිලවරණයේදීය.,3
නිලවරණය සදහා සුගත් තිලකරත්න මහතා සහ හිටපු නියෝජ්‍ය පොලිස්පතිවරයෙකු වන උපාලි කුමාරසිරි මහතා ඉදිරිපත්ව සිටියහ.,3
නිලවරණයේදී සුගත් තිලකරත්න මහතාට ඡන්ද 83 කුත් උපාලි කුමාරසිරි මහතාට ඡන්ද 24කුත් ලැබුණු බව අද දෙරණ වාර්තාකරු සඳහන් කළේය.,3
ඒ අනුව සුගත් තිලකරත්න මහතා වැඩි ඡන්ද 59කින් සභාපති ධූරයට තේරි පත්ව ඇති අතර වසර 2ක කාලයක් ඔහු එම ධුරය දරනු ඇත.,3
ශ්‍රී ලංකා ක්‍රිකට් ආයතනයේ නිලවරණය ලබන වසර මුලදී පැවැත්වීමට බලාපොරොත්තු වන බව ක්‍රීඩා අමාත්‍ය නවීන් දිසානායක මහතා පවසයි.,3
මේ සම්බන්ධයෙන් විශේෂ සාකච්ඡාවක් ඇමතිවරයා හා ක්‍රිකට් ආයතනයේ හිටපු නිලධාරීන් අතර අද පස්වරුවේ පැවැත්විණ.,3
එහිදී නව අතුරු කමිටුවක් පත් කිරීමෙන් පසු ක්‍රිකට් කවුන්සිලයෙන් එල්ල වූ බලපෑම සම්බන්ධයෙන් අමාත්‍යවරයාගෙන් කරන ලද ප්‍රශ්න කිරීමකට පිළිතුරු වශයෙන් හෙතෙම කියා සිටියේ එය අතුරු කමිටුව හා තමන් මැදිහත්වීමෙන් සුහදව විසඳාගන්නට කටයුතු කරන බවයි.,3
ක්‍රිකට් කවුන්සිලයට මේ සම්බන්ධයෙන් තමාගේ ස්ථාවරය දැනුම්දුන් බවද හෙතෙම පැවසීය.,3
"අද පැවැති සාකච්ඡාවට උපාලි ධර්මදාස, නිශාන්ත රණතුංග, මොහාන්ද සිල්වා, අසංග සෙනෙවිරත්න, අජිත් පැස්කුවල් හා හිරන්ත පෙරේරා යන සහභාගි වී සිටියහ.",3
ඉදිරි පකිස්ථාන සංචාරය ඇතුළු සංචාර කිහිපයක් අනූව ශ්‍රී ලංකා ක්‍රිකට් කණ්ඩායමේ වේග පන්දු පුහුණුකරු තනතුරට හිටපු ටෙස්ට් ක්‍රිකට් ක්‍රීඩක චම්පක රාමනායක මහතා පත්කර තිබේ.,3
ශ්‍රී ලංකා ක්‍රිකට් ආයතනය නිවේදනයක් නිකුත් කරමින් පැවසුවේ ජුනි මස 01 වැනිදා සිට මෙම වසර අවසානය දක්වා කාලය සඳහා මෙම පත්කිරීම සිදුකර ඇති බවයි.,3
71 වැනි බ්‍රැඩ්බි පලිහ ශූරතාවයේ පළමු අදියර ජය ගැනීමට කොළඹ රාජකීය විද්‍යාලය අද  සමත් විය.,3
ඒ ප්‍රතිවාදී මහනුවර ත්‍රිත්ව විද්‍යාලය ලකුණු 23ට 22ක් වශයෙන් පරාජයට පත් කරමිනි.,3
බ්‍රැඩ්බි පළිහ 71 වැනි තරගාවලියේ ජයග්‍රහණය කොළඹ රාජකීය විද්‍යාලය විසින් අද හිමිකර ගැනීමට සමත් විය.,3
ඒ ප්‍රතිවාදී මහනුවර ත්‍රිත්ව විද්‍යාලය ලකුණු 49ට බින්දුවක් ලෙස පරාජයට පත් කරමිනි.,3
ඒ අනූව සමස්ත තරඟාවලිය ලකුණු 72ට 22ක් ලෙස සටහන් විය.,3
මෙම තරගය අද (23 දා) කොළඹ රාජකීය විදුහල් ක්‍රීඩා සංකීර්ණයේදී පැවැත්විණ.,3
මහනුවරදී පැවැති පළමු අදියර ලකුණු 23-22 ක්‌ ලෙස තියුණු ජයක්‌ ලැබීමට රාජකීය විදුහල සමත් විය.,3
අදියර දෙකකින් සමන්විත බ්‍රැඩ්බි පළිහ තරගාවලියේ අදියර දෙකේම වැඩිම ලකුණු ලබා ගන්නා කණ්‌ඩායමට බ්‍රැඩ්බි පළිහ හිමිවේ.,3
ඒ අනූව එක්‌ ලකුණක වාසියක්‌ සමග රාජකීය විදුහල අද සටනට පිවිසි අතර අද තරගයේදී ත්‍රිත්ව විදුහලට කිසිදු ලකුණක් ලබා ගැනීමට නොහැකි වීම විශේෂත්වයකි.,3
IPL තරගාවලියේ මුම්බා‍යි ඉන්ඩියන්ස් කණ්ඩායම නියෝජනය කරන ශ්‍රී ලංකා ක්‍රිකට් ක්‍රීඩක ලසිත් මාලිංගට දඩ මුදලක් නියම කර තිබේ.,3
"ඒ, පසුගිය 25 වන දා සන්රයිසර්ස් හයිදරාබාද් කණ්ඩායම සමග පැවති තරගයේදී ඩේවිඩ් වෝනර්ට බැණ වැදීමේ සහ සරදම් කිරීමේ සිද්ධියක් හේතුවෙනි.",3
"මෙහි විශේෂත්වය වන්නේ, ලසිත් මාලිංගට අදාළ දඩය පැනවූ තරග තීරකවරයා ද ශ්‍රී ලාංකිකයෙකු වීම ය.",3
ඔහු රොෂාන් මහානාම යි.,3
සන්රයිසර්ස් හයිදරාබාද් ආරම්භක පිතිකරු ඩේවිඩ් වෝනර් ලකුණු 9කට දවා ගැනීමෙන් පසු ලසිත් මාලිංග හැසිරුණු ආකාරය ඉන්දීය ප්‍රිමියර් ලීග් තරගාවලියේ නීතිරීති උල්ලංඝණය කිරීමක් බවට රොෂාන් මහානාම තීරණය කිරීම හේතුවෙන් මෙම දඩය පනවා තිබේ.,3
"ඒ අනුව, ලසිත් මාලිංගට හිමි තරග ගාස්තුවෙන් 5%ක මුදලක් දඩ වශයෙන් ගෙවීමට සිදුවේ.",3
මෙම තරගයේදී ලසිත් මාලිංග ලකුණු 23කට කඩුලු 4ක් දවා ගනිමින් තරගයේ හොඳ ම ක්‍රීඩකයා ලෙස ද සම්මානයට පාත්‍ර විය.,3
මෙවර IPL තරගාවලියේ මේ වන විට 7 වන ස්ථානයේ පසු වන මුම්බායි ඉන්ඩියන්ස් කණ්ඩායම වාර්තා දෙකක් පිහිටුවා තිබීම විශේෂත්වයකි.,3
"එක් වාර්තාවක් වන්නේ, පිතිකරුවන්ට ලකුණු ලබා ගත නොහැකි වූ පන්දු (Dot Balls) සංඛ්‍යාවකට මුහුණ දුන් කණ්ඩායම බවට පත්ව සිටීම ය.",3
එම පන්දු ගණන 370කි.,3
"එහෙත්, සුවිශේෂී සිදුවීම වන්නේ, වැඩි ම 6 සහ 4 පහර එල්ල කළ කණ්ඩායම බවට ද ඔවුන් පත්ව සිටීම ය.",3
මුම්බායි ඉන්ඩියන්ස් පිතිකරුවන් මේ වන විට 4 පහර 115ක් සහ 6 පහර 53ක් එල්ල කර තිබේ.,3
"ඉන් 6 පහර 13ක් එල්ල කර ඇත්තේ, කයිරන් පොලාර්ඩ් ය.",3
"මුම්බායි ඉන්ඩියන්ස් කණ්ඩායම මේ වන විට සහභාගි වූ තරග 7න් ජය ගෙන ඇත්තේ, තරග 2ක් පමණි.",3
2013 වසරේදී හිම මත ලිස්සා යාමේ ක්‍රීඩාවේ නිරතව සිටියදී හදිසි අනතුරකට ලක්ව කෝමා තත්ත්වයකට පත්වූ මෝටර් රථ ධාවන ශූර මයිකල් ෂූමාකර්ගේ පුත්‍රයා ද මෝටර් රථ ධාවන තරගවල විශිෂ්ටයෙකු බවට පත්වීමේ පෙර නිමිති පළ කර තිබේ.,3
"මයිකල් ෂූමාකර්ගේ පුත්‍රයා වන 16 හැවිරිදි Mick Schumacher සිය පළමු ජයග්‍රහණය වාර්තා කළේ, පෙරේදා පැවති German Formula Four මෝටර් රථ ධාවන තරගාවලියේදී ය.",3
"තරග තුනකින් සමන්විත වූ එම තරගාවලියේ අවසන් තරගය ජය ගත්තේ, Mick Schumacher ය.",3
එහිදී වැඩි ම ලකුණු හිමි කර ගත් නවක ක්‍රීඩකයා ලෙස ද ඔහු නම් කෙරිණි.,3
"පහත දැක්වෙන්නේ, Mick Schumacher ජයගත් තරගය පිළිබඳව කළ පූර්ව විශ්ලේෂණයක් සහිත වීඩියෝවකි",3
එංගලන්ත වේග පන්දු යවන ක්‍රීඩක ජේම්ස් ඇන්ඩර්සන් ටෙස්ට් පන්දු යවන්නන්ගේ ශ්‍රේණිගත කිරීම් ලේඛනයේ දෙවැනි ස්ථානය දක්වා ඉදිරියට පැමිණ තිබේ.,3
"ඒ, බටහිර ඉන්දීය කොදෙව් කණ්ඩායමට එරෙහි දෙවැනි ටෙස්ට් ක්‍රිකට් තරගයේදී දැක්වූ දක්ෂතා හේතුවෙනි.",3
"ජේම්ස් ඇන්ඩර්සන්, ටෙස්ට් පන්දු යැවීමේ ශ්‍රේණිගත කිරීම්හි ලැබූ",3
ඉහළම ස්ථානය මෙය වේ.,3
ශ්‍රී ලංකාවේ රංගන හේරත් 4 වැනි ස්ථානයේ රැඳී සිටී.,3
ඒ අනුව ක්‍රීඩකයින්ගේ ලැයිස්තුව මෙසේය.,3
01 – ඩේල් ස්ටේන් (දකුණු අප්‍රිකාව),3
02 – ජේම්ස් ඇන්ඩර්සන් (එංගලන්තය),3
03 – රයන් හැරිස් (ඔස්ට්‍රේලියාව),3
04 – රංගන හේරත් (ශ්‍රී ලංකාව),3
05 – මිකෙල් ජොන්සන් (ඔස්ට්‍රේලියාව),3
06 – ට්‍රෙන්ට් බෝල්ට් (නවසීලන්තය),3
07 – වර්නන් ෆිලැන්ඩර් (දකුණු අප්‍රිකාව),3
08 – ස්ටුවර්ට් බ්‍රෝඩ් (එංගලන්තය),3
09 – ටිම් සවුදි (නවසීලන්තය),3
10 – මෝර්නි මෝර්කල් (දකුණු අප්‍රිකාව),3
ලන්ඩන් මැරතන් තරගයේදී අනුරාධ ඉන්ද්‍රජිත් කුරේ මැරතන් ඉසව්වේ ශ්‍රී ලංකා වාර්තාව බිඳ දැමීමට සමත් විය.,3
ඊයේ පැවැති තරගයේදී ශ්‍රී ලංකාවේ අනුරාධ ඉන්ද්‍රජිත් කුරේට 14 වන ස්ථානය හිමි විය.,3
පැය 2යි මිනිත්තු 14යි තත්පර 47ක කාලයකින් ඔහු තරගය අවසන් කළේ ය.,3
ඒ අනුව ඔහු ඊයේ බිඳ දැමුවේ 1975 වසරේදී එස්.එල්.බී. රෝසා පිහිටුවා තිබූ වාර්තාව යි.,3
ඔහු පැය 2යි මිනිත්තු 14යි තත්පර 31ක කාලයක් සටහන් කරමින් එම වාර්තාව පිහිටුවා තිබිණ.,3
බටහිර ඉන්දීය කොදෙව් කණ්ඩායම සමග පැවති දෙවැනි ටෙස්ට් ක්‍රිකට් තරගයෙන් සංචාරක එංගලන්ත කණ්ඩායම කඩුලු 9ක විශිෂ්ට ජයක් වාර්තා කළේය.,3
ග්‍රැනේඩාහිදී පැවති තරගයේ පළමුවෙන් පන්දුවට පහර දුන් බටහිර ඉන්දීය කොදෙව් කණ්ඩායම පළමු ඉනිමට රැස් කළ ලකුණු 299ට පිළිතුරු ලෙස එංගලන්තය ලකුණු 464ක් රැස් කළේය.,3
බටහිර ඉන්දීය කොදෙව් දෙවැනි ඉනිම ලකුණු 307කට සීමා විය.,3
ක්‍රෙයිග් බ්‍රේත්වෙයිට් ලකුණු 116යි.,3
ජේම්ස් ඇන්ඩර්සන් ලකුණු 43ට කඩුලු 4ක් දවා ගත්තේය.,3
"ජයග්‍රහණය සඳහා එංගලන්තයට ලකුණු 143ක ඉලක්කයක් හිමි වූ අතර, ඔවුන් තරගය ජය ගත්තේ පන්දුවාර 41යි පන්දුවක් අවසානයේ කඩුල්ලක් දැවී සිටියදී ය.",3
එංගලන්ත නායක ඇලෙස්ටෙයාර් කුක් ඉනිම දෙකේදීම අර්ධ ශතක වාර්තා කළේය.,3
"මේ අතර, ගැරී බැලන්ස් ලකුණු 81ක් රැස් කළේ, සිය ටෙස්ට් ලකුණු දහස සීමාව පසු කරමින් ය.",3
ඉනිම් 17ක් තුළ එම සීමාව පසු කළ ගැරී බැලන්ස් වාර්තා අතරට එක් වූයේ වේගවත්ම ටෙස්ට් ලකුණු දහස රැස් කළ තුන්වැනි,3
එංගලන්ත පිතිකරු ලෙසයි.,3
එංගලන්ත පළමු ඉනිමේදී ලකුණු 182ක් රැස් කළ ජෝ රූට් තරගයේ වීරයා සම්මානය දිනා ගත්තේය.,3
"තරග 1ට 0ක් ලෙස එංගලන්තය තරගාවලියේ පෙරමුණේ පසුවන අතර, අවසන් තරගය ලබන මස 01 වන දා බ්‍රිජ්ටවුන්හිදී",3
ආරම්භ වීමට නියමිතය.,3
ක්‍රිකට් යනු එංගලන්තයෙන් ඉපදී ලොව වටා රටවල් ගණනාවක ප්‍රචලිත වූ ක්‍රිඩාවකි.,3
බටහිර ඉන්දීය කොදෙව් ක්‍රිකට් ක්‍රීඩකයින් යනු බොහෝ විට විනෝදයෙන් ක්‍රීඩා කරන ක්‍රීඩකයින් ලෙස ප්‍රචලිත වී තිබේ.,3
ඊට අමතරව ඔවුන් ආන්දෝලනාත්මක ක්‍රියාවල නිරත වන කණ්ඩායමක් ලෙස ද නම් දරා සිටී.,3
"ඒ අනුව, බටහිර ඉන්දීය කොදෙව් ක්‍රීඩක මාලන් සැමුවෙල්ස්ගේ ක්‍රියාවක් හේතුවෙන් ඔවුන් යළි ත් වරක් ආන්දෝලනාත්මක කණ්ඩායමක් බවට පත්ව තිබේ.",3
"ඒ, එංගලන්තයට එරෙහිව පැවැත්වෙන දෙවන ටෙස්ට් ක්‍රිකට් තරගයේදී ය.",3
කොදෙව් දූපත්හිදී පැවැත්වෙන තරගයේ 3 වෙනි දිනයේදී ලකුණු 8කට දැවී ගිය එංගලන්ත කණ්ඩායමේ තුන් ඉරියව් ක්‍රීඩකයෙකු වන බෙන් ස්ටෝක්ස්ට මාලන් සැමුවෙල්ස් සිය ආචාරය පුද කළේය.,3
බෙන් ස්ටෝක්ස් දැවී යාමෙන් අනතුරුව යළි ක්‍රීඩාගාරය බලා යන අවස්ථාවේදී මාලන් සැමුවෙල්ස් ඔහුගේ තොප්පිය පපුව මත තබා ගනිමින් දකුණු අතින් ආචාර කළේ ය.,3
මේ වන විට සැමුවෙල්ස්ගේ මෙම ආන්දෝලනාත්මක ක්‍රියාව ජාත්‍යන්තර විචාරකයින්ගේ කතාබහට ලක්ව තිබේ.,3
"ඒ අනුව, බටහිර ඉන්දීය කොදෙව් පන්දු පුහුණුකරු ශ්‍රීමත් කර්ට්නි ඇම්බ්‍රෝස් පවසන්නේ, සැමුවෙල්ස් කළ එම ක්‍රියාවේ කිසිදු වරදක් නොමැති බව ය.",3
"මේ අතර, හිටපු එංගලන්ත ටෙස්ට් ක්‍රිකට් නායක මයිකල් වෝන් ද මෙලෙස සැමුවෙල්ස්ට ප්‍රශංසා කර තිබේ.",3
"ඔහු පවසා ඇත්තේ, මාලන් සැමුවෙල්ස්ගේ ක්‍රියාව යහපත් එකක් බව ය.",3
ලෝක ටෙනිස් ශ්‍රේණිගත කිරීමෙහි 4වන ස්ථානයේ පසුවන ස්පාඤ්ඤ ක්‍රිඩක රෆායල් නඩාල්ට බාසිලෝනා විවෘත ටෙනිස් තරගාවලියෙන් ඉවත් වීමට සිදු විය.,3
වසර 12කට පසුව මෙම තරගාවලියේදී ඔහු ලැබූ දැවැන්තම පරාජය මෙය වේ.,3
බාසිලෝනා විවෘත ටෙනිස් තරගාවලියේ 3වන වටයේ තරග කිහිපයක් ඊයේ පැවැත්විණි.,3
"කලක් ටෙනිස් ශ්‍රේණිගත කිරිමෙහි පෙරමුණේ රැඳී සිටි ස්පාඤ්ඤ සුපිරි ක්‍රීඩක රෆායල් නඩාල් සමග තරග කළේ, ඉතාලියේ ෆැබියෝ ෆොනීනි ය.",3
තරගයේ පළමු වටය ලකුණු 6:4ක් ලෙස ෆොනීනි ජය ගත්තේ ය.,3
"දෙවන වටය ආරම්භයේ සිට ම තියුණු මුහුණුවරක් ගත් අතර ෆොනීනි එම වටය ජය ගත්තේ, ලකුණු 7:6ක් ලෙස ය.",3
ඒ අනුව තරග වට 2:0ක් ලෙස සමස්ත තරගය ජය ගත් ෆැබියෝ ෆොනීනි අර්ධ අවසන් පූර්ව වටයට සුදුසුකම් ලබා ගත්තේ ය.,3
2013 වසරෙන් අනතුරුව බාසිලෝනා විවෘත ටෙනිස් තරගාවලියේදී,3
නඩාල් ලැබූ දැවැන්ත ම පරාජය මෙය වේ.,3
"ෆොනීනිට ලෝක ටෙනිස් ශ්‍රේණිගත කිරීමෙහි හිමිව ඇත්තේ, 13 වන ස්ථානයයි.",3
ඔහු අද පැවැත්වෙන අර්ධ අවසන් පූර්ව තරගයේදී ස්පාඤ්ඤයේ පැබ්ලෝ ඇන්ඩුහා සමග තරග වැදීමට නියමිත ය.,3
"3වන වටයේ තව ත් තරගයක් පැවැත්වු‍ණේ, ජපානයේ කෙයි නිෂිකොරි සහ කොලොම්බියාවේ සැන්තියාගෝ කිරාල්ඩෝ අතර ය.",3
නිෂිකෝරි තරග වට 2:0ක් ලෙස පහසුවෙන් ජය ගත්තේ ය.,3
"ලකුණු තත්ත්වය දැක්වුණේ, 6:2ක් සහ 6:1ක් ලෙස ය.",3
නිෂිකොරි අර්ධ අවසන් පූර්ව තරගයේදී ස්පාඤ්ඤයේ රොබටෝ බවුටිස්ටා සමග තරග වදිණු ඇති.,3
එක්දින තරග ඉතිහාසයේ බංග්ලාදේශ කණ්ඩායම ඉනිමකදී වාර්තා කළ ඉහළ ම ලකුණු සංඛ්‍යාව අද රැස් කළේ ය.,3
"ඒ, පකිස්ථානයට එරෙහිව මීර්පුර්හිදී පැවැති පළමු එක්දින තරගයේදී ලකුණු 329ක් වාර්තා කරමිනි.",3
"බංග්ලාදේශ කණ්ඩායම එම තරගය ජය ගත්තේ, ලකුණු 79 කිනි.",3
තරගයේ කාසියේ වාසිය දිනා පළමුවෙන් පන්දුවට පහර දීමේ අවස්ථාව උදා කර ගත් බංග්ලාදේශය නියමිත පන්දුවාර 50 අවසානයේ කඩුලු 6කට ලකුණු 329ක් රැස් කළේ ය.,3
තරගයේ පළමු කඩුලු 2 ලකුණු 67 ක් තුළ බිඳ වැටුණු ද තමීම් ඉක්බාල් සමගින් පිටියේ ස්ථාවර වූ මුෂ්ෆික රහීම් 3 වන කඩුල්ලට ගොඩ නැගූ සබඳතාව ලකුණු 178 කි.,3
"තමීම් ඉක්බාල් සිය එක්දින දිවියේ 5 වන ශතකය වාර්තා කරමින් ලකුණු 132ක් රැස් කළ අතර කඩුලු රකින ක්‍රීඩක මුෂ්ෆික රහීම් අද වාර්තා කළේ, එක්දින දිවියේ 3 වන ශතකයයි.",3
වාහාබ් රියාස් පන්දුවාර 10 කදී ලකුණු 59 ට කඩුලු 4 ක් දවා ගත්තේ ය.,3
"ලකුණු 330ක ඉල්ක්කයක් සඳහා පිටියට පිවිසි පකිස්ථානයේ පළමු කඩුල්ල ලෙස සෆ්රාස් අහමඩ් ලකුණු 24 කට දැවී ගියේ, මුළු ලකුණු සංඛාව 53ක් ලෙස සටහන්ව තිබියදී ය.",3
එක්දින දිවියේ 5 වන අර්ධ ශතකය වාර්තා කළ නායක අසාර් අලී ලකණු 72 ක් රැස් කළේ ය.,3
හැරිස් සොහිල් ලකුණු 51ක් රැස් කළේ ය.,3
පළමු පෙළ තුන් දින තරගයක පළමු ඉනිමේදී අඩු ම ලකුණු සංඛ්‍යාවකට දැවී ගිය කණ්ඩායමක් එම තරගයෙන් ජය ගත් පුවතක් ශ්‍රී ලංකාවෙන් වාර්තා විය.,3
"පනාගොඩ ගුවන් හමුදා ක්‍රීඩාංගණයේදී එම තරගය පැවැත්වුණේ, අප්‍රේල් 10,11 සහ 12 යන දිනවල ය.",3
තරගය ගාල්ල ක්‍රිකට් සමාජය සහ ගුවන් හමුදා කණ්ඩායම අතර පැවැත්විණි.,3
පළමුවෙන් පන්දුවට පහර දුන් ගාල්ල ක්‍රිකට් කණ්ඩායමේ සියලු කඩුලු ලකුණු 31කට බිඳ වැටිණි.,3
ඊට පිළිතුරු ලෙස ගුවන් හමුදා කණ්ඩායම සියලු කඩුලු දැවී ලකුණු 215ක් රැස් කළේ ය.,3
ගාල්ල ක්‍රිකට් සමාජය දෙවන ඉනිමේදී ලකුණු 295ක් රැස් කළ අතර ගුවන් හමුදා කණ්ඩායමේ සියලු කඩුලු ලකුණු 107කදී බිඳ වැටිණි.,3
